speciesId,temperatureC,suitability,status,interpretation
walleye,11.1,0.977500,available,hypothetical_research_only
walleye,11.2,0.980000,available,hypothetical_research_only
walleye,11.3,0.982500,available,hypothetical_research_only
walleye,11.4,0.985000,available,hypothetical_research_only
walleye,11.5,0.987500,available,hypothetical_research_only
walleye,11.6,0.990000,available,hypothetical_research_only
walleye,11.7,0.992500,available,hypothetical_research_only
walleye,11.8,0.995000,available,hypothetical_research_only
walleye,11.9,0.997500,available,hypothetical_research_only
walleye,12.0,1.000000,available,hypothetical_research_only
walleye,12.1,1.000000,available,hypothetical_research_only
walleye,12.2,1.000000,available,hypothetical_research_only
walleye,12.3,1.000000,available,hypothetical_research_only
walleye,12.4,1.000000,available,hypothetical_research_only
walleye,12.5,1.000000,available,hypothetical_research_only
walleye,12.6,1.000000,available,hypothetical_research_only
walleye,12.7,1.000000,available,hypothetical_research_only
walleye,12.8,1.000000,available,hypothetical_research_only
walleye,12.9,1.000000,available,hypothetical_research_only
walleye,13.0,1.000000,available,hypothetical_research_only
walleye,13.1,1.000000,available,hypothetical_research_only
walleye,13.2,1.000000,available,hypothetical_research_only
walleye,13.3,1.000000,available,hypothetical_research_only
walleye,13.4,1.000000,available,hypothetical_research_only
walleye,13.5,1.000000,available,hypothetical_research_only
walleye,13.6,1.000000,available,hypothetical_research_only
walleye,13.7,1.000000,available,hypothetical_research_only
walleye,13.8,1.000000,available,hypothetical_research_only
walleye,13.9,1.000000,available,hypothetical_research_only
walleye,14.0,1.000000,available,hypothetical_research_only
walleye,14.1,1.000000,available,hypothetical_research_only
walleye,14.2,1.000000,available,hypothetical_research_only
walleye,14.3,1.000000,available,hypothetical_research_only
walleye,14.4,1.000000,available,hypothetical_research_only
walleye,14.5,1.000000,available,hypothetical_research_only
walleye,14.6,1.000000,available,hypothetical_research_only
walleye,14.7,1.000000,available,hypothetical_research_only
walleye,14.8,1.000000,available,hypothetical_research_only
walleye,14.9,1.000000,available,hypothetical_research_only
