year,port,mode,species,month,estimateType,estimate
1996,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,4,Harvest,9
1996,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,5,Harvest,143
1996,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,5,Harvest,5
1996,FRANKFORT-ELBERTA,Pier/Dock,Lean Lake Trout,5,Harvest,135
1996,FRANKFORT-ELBERTA,Pier/Dock,Northern Pike,5,Harvest,11
1996,FRANKFORT-ELBERTA,Pier/Dock,,5,Angler Hours,2615
1996,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,5,Harvest,67
1996,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,6,Harvest,45
1996,FRANKFORT-ELBERTA,Pier/Dock,,6,Angler Hours,2039
1996,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,7,Harvest,25
1996,FRANKFORT-ELBERTA,Pier/Dock,,7,Angler Hours,2196
1996,FRANKFORT-ELBERTA,Pier/Dock,Yellow Perch,7,Harvest,8
1996,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,8,Harvest,48
1996,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,8,Harvest,206
1996,FRANKFORT-ELBERTA,Pier/Dock,Common White Sucker,8,Harvest,49
1996,FRANKFORT-ELBERTA,Pier/Dock,,8,Angler Hours,2671
1996,FRANKFORT-ELBERTA,Pier/Dock,Smallmouth Bass,8,Harvest,76
1996,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,9,Harvest,8
1996,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,9,Harvest,165
1996,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,9,Harvest,193
1996,FRANKFORT-ELBERTA,Pier/Dock,Drum,9,Harvest,23
1996,FRANKFORT-ELBERTA,Pier/Dock,,9,Angler Hours,4400
1996,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,9,Harvest,22
1996,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,10,Harvest,37
1996,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,10,Harvest,1
1996,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,10,Harvest,16
1996,FRANKFORT-ELBERTA,Pier/Dock,,10,Angler Hours,6159
1996,FRANKFORT-ELBERTA,Pier/Dock,Round Whitefish,10,Harvest,2195
1996,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,10,Harvest,212
1996,FRANKFORT-ELBERTA,Pier/Dock,Yellow Perch,10,Harvest,14
