year,port,mode,species,month,month_name,estimate_type,estimate,source,source_last_refreshed
1991,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,10,October,Harvest,2,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,,10,October,Angler Hours,4999,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,10,October,Harvest,482,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,,11,November,Angler Hours,476,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1991,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,11,November,Harvest,47,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,4,April,Harvest,29,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,,4,April,Angler Hours,1766,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,4,April,Harvest,6,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,5,May,Harvest,67,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,5,May,Harvest,5,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,,5,May,Angler Hours,1573,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,5,May,Harvest,33,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,,6,June,Angler Hours,2121,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,7,July,Harvest,236,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,7,July,Harvest,68,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,,7,July,Angler Hours,8467,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,7,July,Harvest,115,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,8,August,Harvest,184,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,8,August,Harvest,96,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,8,August,Harvest,113,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,,8,August,Angler Hours,6337,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,9,September,Harvest,4,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,9,September,Harvest,29,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,9,September,Harvest,90,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,,9,September,Angler Hours,3597,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,9,September,Harvest,49,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,10,October,Harvest,25,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,10,October,Harvest,13,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,,10,October,Angler Hours,10390,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1992,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,10,October,Harvest,555,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,4,April,Harvest,202,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,,4,April,Angler Hours,4290,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,4,April,Harvest,47,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,5,May,Harvest,146,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,,5,May,Angler Hours,2606,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,5,May,Harvest,17,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,6,June,Harvest,362,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,6,June,Harvest,24,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,,6,June,Angler Hours,4371,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,6,June,Harvest,89,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,7,July,Harvest,34,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,7,July,Harvest,108,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,,7,July,Angler Hours,7367,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,7,July,Harvest,211,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,8,August,Harvest,13,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,8,August,Harvest,34,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,8,August,Harvest,11,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,,8,August,Angler Hours,4184,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,9,September,Harvest,16,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,9,September,Harvest,61,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,,9,September,Angler Hours,2946,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,9,September,Harvest,25,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,10,October,Harvest,64,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,10,October,Harvest,7,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,10,October,Harvest,72,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,,10,October,Angler Hours,7984,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1993,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,10,October,Harvest,305,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,4,April,Harvest,315,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,4,April,Harvest,0,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,4,April,Harvest,0,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,,4,April,Angler Hours,6551,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,4,April,Harvest,136,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,5,May,Harvest,316,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,5,May,Harvest,4,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,5,May,Harvest,0,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,,5,May,Angler Hours,3596,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,5,May,Harvest,8,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,6,June,Harvest,392,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,6,June,Harvest,0,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,6,June,Harvest,7,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,,6,June,Angler Hours,5469,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,6,June,Harvest,23,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,7,July,Harvest,39,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,7,July,Harvest,0,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,7,July,Harvest,0,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,,7,July,Angler Hours,9209,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,7,July,Harvest,86,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,8,August,Harvest,37,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,8,August,Harvest,65,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,8,August,Harvest,0,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,,8,August,Angler Hours,2550,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,8,August,Harvest,0,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,9,September,Harvest,0,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,9,September,Harvest,19,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,9,September,Harvest,52,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,,9,September,Angler Hours,3186,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,9,September,Harvest,19,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,10,October,Harvest,5,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Chinook Salmon,10,October,Harvest,0,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Coho Salmon,10,October,Harvest,37,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,,10,October,Angler Hours,5225,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1994,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,10,October,Harvest,150,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,Brown Trout,4,April,Harvest,84,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,,4,April,Angler Hours,3405,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
1995,FRANKFORT-ELBERTA,Pier/Dock,Steelhead,4,April,Harvest,247,Michigan DNR Creel Sportfishing Estimates dashboard,2025-04-23
