pairKey,cityId,speciesId,evidenceGrade,modeCount,peakDate,peakMode,peakScore,goodDays,excellentDays,april15,june15,september16,october15,december15,springMaximum,summerMaximum,fallMaximum,winterMaximum
harbor_beach_mi/coho_salmon,harbor_beach_mi,coho_salmon,B,2,2027-04-20,spring_coldwater_pier,5.8,0,0,5.51,1.45,4.49,3.04,1.58,5.8,2.82,4.7,2.75
harbor_beach_mi/smallmouth_bass,harbor_beach_mi,smallmouth_bass,B,1,2027-07-20,warm_season_breakwall,4.9,0,0,1.82,4.04,3.44,2.02,1,3.44,4.9,3.93,1
oscoda_mi/atlantic_salmon,oscoda_mi,atlantic_salmon,A,2,2027-04-20,spring_coldwater_pier,8.4,50,8,7.95,1.69,5.62,3.7,1.89,8.4,3.63,5.9,3.7
oscoda_mi/steelhead,oscoda_mi,steelhead,A,2,2027-04-20,spring_coldwater_pier,7.4,33,0,7.01,1.6,5.06,3.37,1.77,7.4,3.28,5.3,3.34
oscoda_mi/walleye,oscoda_mi,walleye,A,2,2027-05-01,spring_low_light,6.8,20,0,5.42,3.32,4.42,3.17,1,6.8,4.4,4.8,1.89
oscoda_mi/lake_trout,oscoda_mi,lake_trout,B,1,2027-04-20,spring_coldwater_pier,4.6,0,0,4.38,1.34,1,1,1.43,4.6,2.28,1.33,2.32
oscoda_mi/coho_salmon,oscoda_mi,coho_salmon,B,2,2027-09-18,fall_harbor_staging,6.5,9,0,4.19,1.32,6.19,4.03,1.41,4.4,3.7,6.5,2.24
oscoda_mi/chinook_salmon,oscoda_mi,chinook_salmon,B,1,2027-09-18,fall_harbor_staging,5.5,0,0,1,1,5.25,3.48,1,1,3.21,5.5,1.25
oscoda_mi/smallmouth_bass,oscoda_mi,smallmouth_bass,B,1,2027-07-20,warm_season_pier,4.5,0,0,1.74,3.73,3.19,1.92,1,3.19,4.5,3.63,1
oscoda_mi/channel_catfish,oscoda_mi,channel_catfish,B,1,2027-07-20,warm_season_bottom_fishery,4.2,0,0,1.68,3.5,3,1.84,1,3.01,4.2,3.41,1
oscoda_mi/freshwater_drum,oscoda_mi,freshwater_drum,B,1,2027-07-20,warm_season_bottom_fishery,3.9,0,0,1.61,3.26,2.81,1.76,1,2.82,3.9,3.18,1
port_sanilac_mi/coho_salmon,port_sanilac_mi,coho_salmon,A,2,2027-04-20,spring_coldwater_pier,6.4,12,0,6.07,1.51,5.53,3.64,1.65,6.4,3.36,5.8,2.97
port_sanilac_mi/steelhead,port_sanilac_mi,steelhead,B,2,2027-04-20,spring_coldwater_pier,4.5,0,0,4.29,1.33,4.11,2.82,1.42,4.5,2.62,4.3,2.28
port_sanilac_mi/northern_pike,port_sanilac_mi,northern_pike,B,1,2027-07-20,warm_season_breakwall,5.1,0,0,1.87,4.2,3.56,2.08,1,3.57,5.1,4.08,1
harbor_beach_mi/atlantic_salmon,harbor_beach_mi,atlantic_salmon,B,2,2027-04-25,spring_coldwater_pier,5.2,0,0,4.33,1.81,3.92,3.58,1,5.2,2.95,4.8,1.41
harbor_beach_mi/steelhead,harbor_beach_mi,steelhead,B,1,2027-04-25,coolwater_port_opportunity,5.6,0,0,4.58,4,4.25,3.84,1,5.6,4.44,4.91,1.36
harbor_beach_mi/lake_trout,harbor_beach_mi,lake_trout,B,1,2027-05-01,reachable_coldwater_port,5.3,0,0,4.4,3.37,3.39,4.17,1,5.3,3.97,4.44,1.94
harbor_beach_mi/walleye,harbor_beach_mi,walleye,A,1,2027-10-15,warm_season_low_light_breakwall,6,0,0,2.08,4.04,5.52,6,1,3.71,5.3,6,1.23
harbor_beach_mi/northern_pike,harbor_beach_mi,northern_pike,B,1,2027-09-15,warm_season_harbor,4.6,0,0,1.4,2.99,4.54,2.72,1,2.64,4.38,4.6,1
oscoda_mi/northern_pike,oscoda_mi,northern_pike,B,2,2027-04-25,spring_river_mouth,5,0,0,4.17,2.17,3.6,3.04,1,5,3.26,4.2,1.39
port_sanilac_mi/atlantic_salmon,port_sanilac_mi,atlantic_salmon,A,2,2027-05-20,spring_breakwall,6.3,17,0,4.89,3.41,3.63,5.03,1,6.3,4.97,5.2,1.63
port_sanilac_mi/chinook_salmon,port_sanilac_mi,chinook_salmon,B,2,2027-09-20,fall_harbor_staging,5,0,0,3.57,1.87,4.66,3.17,1,4.8,3.32,5,1.33
port_sanilac_mi/brown_trout,port_sanilac_mi,brown_trout,B,2,2027-04-20,spring_nearshore,4.8,0,0,4.52,1.9,3.19,4.36,1,4.8,2.69,4.5,1.93
port_sanilac_mi/lake_trout,port_sanilac_mi,lake_trout,A,1,2027-05-01,reachable_coldwater_port,5.5,0,0,4.56,4.15,3.72,4.28,1,5.5,4.57,4.38,1.88
port_sanilac_mi/yellow_perch,port_sanilac_mi,yellow_perch,B,1,2027-08-01,warm_season_breakwall,5,0,0,1.66,4,3.9,2.13,1,3.33,5,4.26,1
port_sanilac_mi/walleye,port_sanilac_mi,walleye,A,1,2027-10-01,warm_season_low_light_breakwall,6.2,21,0,1.98,4.9,6.03,4.82,1,4.14,5.86,6.2,1.36
port_sanilac_mi/smallmouth_bass,port_sanilac_mi,smallmouth_bass,A,1,2027-07-25,warm_season_breakwall,5.4,0,0,2.31,4.96,4.24,2.43,1,4.3,5.4,4.6,1
port_sanilac_mi/white_bass,port_sanilac_mi,white_bass,B,1,2027-07-25,summer_breakwall_schooling,4.5,0,0,1.28,3.53,1.92,1,1,2.73,4.5,2.84,1
ludington_mi/northern_pike,ludington_mi,northern_pike,A,1,2027-08-15,warm_season_harbor,5.2,0,0,1.83,3.73,3.89,2.86,1,3.24,5.2,4.51,1
ludington_mi/burbot,ludington_mi,burbot,B,1,2027-02-10,winter_harbor_bottom,4.6,0,0,1,1,1,1,2.8,3.67,1,1.9,4.6
grand_haven_mi/white_perch,grand_haven_mi,white_perch,A,1,2027-08-20,warm_season_harbor_schooling,5.6,0,0,1.35,2.88,5.2,3.42,1,2.3,5.6,5.42,1
grand_haven_mi/white_bass,grand_haven_mi,white_bass,B,1,2027-08-15,summer_harbor_schooling,5.2,0,0,1.32,2.9,2.4,1.41,1,2.28,5.2,3.71,1
grand_haven_mi/bluegill,grand_haven_mi,bluegill,A,1,2027-08-15,warm_season_pier,5.8,0,0,1.14,2.89,3.45,1,1,2.08,5.8,4.55,1
grand_haven_mi/lake_whitefish,grand_haven_mi,lake_whitefish,B,2,2027-11-15,lawful_fall_spawning_aggregation,4,0,0,3.04,1,1.48,2.22,1.6,3.3,1.34,4,2.72
manistee_mi/northern_pike,manistee_mi,northern_pike,A,2,2027-05-15,spring_harbor,5,0,0,2.82,3.45,4.57,3.67,1,5,4.15,4.6,1.23
manistee_mi/burbot,manistee_mi,burbot,B,1,2027-02-20,winter_harbor_bottom,4.5,0,0,1,1,1,1,1.32,4.11,1,1,4.5
frankfort_elberta_mi/northern_pike,frankfort_elberta_mi,northern_pike,B,2,2027-04-25,spring_harbor,4.5,0,0,3.77,1.87,3.74,1.88,1,4.5,3.32,3.8,1.34
frankfort_elberta_mi/walleye,frankfort_elberta_mi,walleye,B,2,2027-05-15,spring_harbor_low_light,4.5,0,0,3.34,2.24,3.73,1.64,1,4.5,3.26,3.8,1.28
